frequency	language	identifier	gloss	lexeme
412	None	XRB/	dagger	חֶרֶב
407	None	BJN/	interval	בַּיִן
406	None	C>WL=/	Saul	שָׁאוּל
404	None	N>	yeah	נָא
403	None	KSP/	silver	כֶּסֶף
401	None	MZBX/	altar	מִזְבֵּחַ
401	None	MQWM/	place	מָקֹום
396	None	JM/	sea	יָם
389	None	ZHB/	gold	זָהָב
378	None	>C/	fire	אֵשׁ
378	None	L	to	לְ
378	None	RWX/	wind	רוּחַ
377	None	JRD[	descend	ירד
376	None	BNH[	build	בנה
376	None	N>M/	speech	נְאֻם
374	None	C<R/	gate	שַׁעַר
370	None	NGD[	report	נגד
360	None	DM/	blood	דָּם
359	None	>NKJ	i	אָנֹכִי
349	None	J<QB/	Jacob	יַעֲקֹב
347	None	>HRN/	Aaron	אַהֲרֹן
347	None	MLK[	be king	מלך
347	None	R</	evil	רַע
345	None	>HL/	tent	אֹהֶל
345	None	DJ	<relative>	דִּי
336	None	SBJB/	surrounding	סָבִיב
335	None	>DWN/	lord	אָדֹון
332	None	JR>[	fear	ירא
330	None	<Y/	tree	עֵץ
327	None	BRK[	bless	ברך
325	None	KLJ/	tool	כְּלִי
320	None	>W	or	אֹו
320	None	FDH/	open field	שָׂדֶה
316	None	<NH[	answer	ענה
315	None	NBJ>/	prophet	נָבִיא
315	None	<FRJM/	twenty	עֶשְׂרִים
313	None	R<H/	evil	רָעָה
308	None	MLXMH/	war	מִלְחָמָה
303	None	PQD[	miss	פקד
300	None	M>D/	might	מְאֹד
298	None	LXM/	bread	לֶחֶם
297	None	SWR[	turn aside	סור
297	None	<T/	time	עֵת
293	None	XV>T/	sin	חַטָּאת
293	None	CLMH=/	Solomon	שְׁלֹמֹה
292	None	LWJ/	Levite	לֵוִי
292	None	ML>[	be full	מלא
291	None	HMH	they	הֵמָּה
290	None	XZQ[	be strong	חזק
288	None	KRT[	cut	כרת
288	None	<BD[	work, serve	עבד
288	None	PLCTJ/	Philistine	פְּלִשְׁתִּי
286	None	<LH/	burnt-offering	עֹלָה
284	None	BRJT/	covenant	בְּרִית
284	None	XDC=/	month	חֹדֶשׁ
283	None	>TM	you	אַתֶּם
283	None	>JB[	be hostile	איב
283	None	XJH[	be alive	חיה
281	None	QRB[	approach	קרב
277	None	>P/	nose	אַף
274	None	PR<H/	pharaoh	פַּרְעֹה
274	None	Y>N/	cattle	צֹאן
274	None	CC/	six	שֵׁשׁ
273	None	>BN/	stone	אֶבֶן
272	None	LM<N	because of	לְמַעַן
270	None	BFR/	flesh	בָּשָׂר
270	None	MDBR/	desert	מִדְבָּר
269	None	HM	they	הֵם
262	None	BBL/	Babel	בָּבֶל
262	None	RC</	guilty	רָשָׁע
252	None	LBB/	heart	לֵבָב
252	None	MVH/	staff	מַטֶּה
247	None	>MH=/	cubit	אַמָּה
247	None	RGL/	foot	רֶגֶל
245	None	XSD/	loyalty	חֶסֶד
244	None	XJL/	power	חַיִל
240	None	GBWL/	boundary	גְּבוּל
240	None	N<R/	boy	נַעַר
239	None	XJ/	alive	חַי
237	None	XV>[	miss	חטא
237	None	CLWM/	peace	שָׁלֹום
235	None	>L/	god	אֵל
235	None	M<FH/	deed	מַעֲשֶׂה
231	None	ZKR[	remember	זכר
231	None	JRC[	trample down	ירשׁ
231	None	<WN/	sin	עָוֹן
229	None	ZR</	seed	זֶרַע
227	None	LJLH/	night	לַיְלָה
227	None	QRB/	interior	קֶרֶב
226	None	B	in	בְּ
225	None	BD/	linen, part, stave	בַּד
225	None	BQC[	seek	בקשׁ
224	None	NXLH/	heritage	נַחֲלָה
224	None	RBH[	be many	רבה
223	None	>DMH/	soil	אֲדָמָה
223	None	KTB[	write	כתב
223	None	MW<D/	appointment	מֹועֵד
220	None	>M/	mother	אֵם
220	None	TWRH/	instruction	תֹּורָה
218	None	JHWC</	Joshua	יְהֹושֻׁעַ
217	None	CTH[	drink	שׁתה
216	None	KWN[	be firm	כון
215	None	BGD/	garment	בֶּגֶד
214	None	BQR=/	morning	בֹּקֶר
214	None	MXNH/	camp	מַחֲנֶה
214	None	NVH[	extend	נטה
214	None	<ZB[	leave	עזב
213	None	JWSP/	Joseph	יֹוסֵף
213	None	ML>K/	messenger	מַלְאָךְ
213	None	NYL[	deliver	נצל
212	None	JSP[	add	יסף
212	None	CKB[	lie down	שׁכב
211	None	>HB[	love	אהב
211	None	MNXH/	present	מִנְחָה
206	None	KLH[	be complete	כלה
206	None	YDJQ/	just	צַדִּיק
205	None	JC<[	help	ישׁע
204	None	>SP[	gather	אסף
203	None	<FR/	-teen	עָשָׂר
202	None	>RWN/	ark	אֲרֹון
202	None	CPV[	judge	שׁפט
200	None	KBWD/	weight	כָּבֹוד
200	None	LKN	therefore	לָכֵן
193	None	JKL[	be able	יכל
192	None	XYR/	court	חָצֵר
192	None	KP/	palm	כַּף
191	None	CMN/	oil	שֶׁמֶן
190	None	BHMH/	cattle	בְּהֵמָה
190	None	CBV/	rod	שֵׁבֶט
188	None	GLH[	uncover	גלה
188	None	MCPXH/	clan	מִשְׁפָּחָה
188	None	RWM[	be high	רום
187	None	>ZN/	ear	אֹזֶן
187	None	R<=/	fellow	רֵעַ
186	None	>BD[	perish	אבד
185	None	SPR/	letter	סֵפֶר
185	None	CB<[	swear	שׁבע
183	None	BQR/	cattle	בָּקָר
182	None	JRDN/	Jordan	יַרְדֵּן
182	None	R>CWN/	first	רִאשֹׁון
181	None	ZQN/	old	זָקֵן
181	None	MYWH/	commandment	מִצְוָה
180	None	>PRJM/	Ephraim	אֶפְרַיִם
180	None	MLK/	king	מֶלֶךְ
180	None	MW>B/	Moab	מֹואָב
178	None	LMH	why	לָמָה
176	None	FPH/	lip	שָׂפָה
175	None	>BRHM/	Abraham	אַבְרָהָם
171	None	LXM[	fight	לחם
171	None	QDC[	be holy	קדשׁ
171	None	C>L[	ask	שׁאל
170	None	BJN[	understand	בין
170	None	XWH[	bow down	חוה
169	None	BXR[	examine	בחר
168	None	R<H[	pasture	רעה
167	None	HRG[	kill	הרג
166	None	>XR=/	other	אַחֵר
166	None	BNJMN/	Benjamin	בִּנְיָמִן
166	None	DWR/	generation	דֹּור
164	None	B<L/	lord, baal	בַּעַל
164	None	DRC[	inquire	דרשׁ
164	None	XWY/	outside	חוּץ
164	None	PTX/	opening	פֶּתַח
163	None	>JL=/	ram, despot	אַיִל
162	None	ZBX/	sacrifice	זֶבַח
162	None	VM>[	be unclean	טמא
161	None	>K	only	אַךְ
161	None	MWT/	death	מָוֶת
161	None	SBB[	turn	סבב
159	None	GBWR/	vigorous	גִּבֹּור
159	None	NWS[	flee	נוס
157	None	YDQH/	justice	צְדָקָה
156	None	CNJ/	second	שֵׁנִי
154	None	YJWN==/	Zion	צִיֹּון
154	None	FMX[	rejoice	שׂמח
152	None	KSH[	cover	כסה
152	None	YPWN/	north	צָפֹון
152	None	RB=/	multitude	רֹב
151	None	>CWR/	Asshur	אַשּׁוּר
151	None	NGD/	counterpart	נֶגֶד
150	None	NG<[	touch	נגע
149	None	XKMH/	wisdom	חָכְמָה
149	None	<DH/	gathering	עֵדָה
148	None	XJJM/	life	חַיִּים
147	None	CMNH/	eight	שְׁמֹנֶה
147	None	CBR[	break	שׁבר
146	None	HLL[	praise	הלל
146	None	MNCH/	Manasseh	מְנַשֶּׁה
146	None	NS<[	pull out	נסע
146	None	FN>[	hate	שׂנא
145	None	JW>B/	Joab	יֹואָב
145	None	<BDH/	work	עֲבֹדָה
145	None	CXT[	destroy	שׁחת
143	None	>RM/	Aram	אֲרָם
143	None	XNH[	encamp	חנה
143	None	RDP[	pursue	רדף
142	None	KMW	like	כְּמֹו
141	None	>Z	then	אָז
141	None	JJN/	wine	יַיִן
141	None	NWX[	settle	נוח
140	None	M<L/	top	מַעַל
140	None	QR>=[	encounter	קרא
140	None	CMW>L/	Samuel	שְׁמוּאֵל
139	None	JMJN/	right-hand side	יָמִין
139	None	MCKN/	dwelling-place	מִשְׁכָּן
139	None	NXCT/	bronze	נְחֹשֶׁת
139	None	NXL/	wadi	נַחַל
138	None	XKM/	wise	חָכָם
138	None	JC/	existence	יֵשׁ
138	None	SWS/	horse	סוּס
138	None	C	<relative>	שַׁ
136	None	KS>/	seat	כִּסֵּא
135	None	PNH[	turn	פנה
135	None	PTX[	open	פתח
135	None	CMC/	sun	שֶׁמֶשׁ
134	None	GL<D/	Gilead	גִּלְעָד
134	None	ZBX[	slaughter	זבח
134	None	XLL[	defile	חלל
134	None	MSPR/	number	מִסְפָּר
134	None	<RB/	evening	עֶרֶב
134	None	<FRH/	-teen	עֶשְׂרֵה
133	None	>P	even	אַף
133	None	XWMH/	wall	חֹומָה
133	None	PN	lest	פֶּן
133	None	PR/	young bull	פַּר
133	None	QBR[	bury	קבר
133	None	C>R[	remain	שׁאר
130	None	NFJ>/	chief	נָשִׂיא
129	None	XQ/	portion	חֹק
129	None	JRMJHW/	Jeremiah	יִרְמְיָהוּ
129	None	CKN[	dwell	שׁכן
127	None	>MT/	trustworthiness	אֶמֶת
127	None	QBY[	collect	קבץ
125	None	XYJ/	half	חֲצִי
125	None	XMH/	heat	חֵמָה
125	None	KX/	strength	כֹּחַ
125	None	NGC[	approach	נגשׁ
125	None	CLK[	throw	שׁלך
124	None	XCB[	account	חשׁב
123	None	<YM/	bone	עֶצֶם
123	None	QHL/	assembly	קָהָל
122	None	BKR/	first-born	בְּכֹר
121	None	LKD[	seize	לכד
120	None	>NXNW	we	אֲנַחְנוּ
120	None	<FRH=/	ten	עֲשָׂרָה
119	None	JCR/	right	יָשָׁר
119	None	MN	from	מִן
119	None	NHR/	stream	נָהָר
119	None	PRJ/	fruit	פְּרִי
119	None	YDQ/	justice	צֶדֶק
119	None	RKB/	chariot	רֶכֶב
118	None	BVX[	trust	בטח
118	None	P<M/	foot	פַּעַם
117	None	GDL[	be strong	גדל
117	None	JVB[	be good	יטב
117	None	LCWN/	tongue	לָשֹׁון
117	None	FRP[	burn	שׂרף
117	None	TW<BH/	abomination	תֹּועֵבָה
116	None	QDWC/	holy	קָדֹושׁ
116	None	CLM[	be complete	שׁלם
115	None	>WR/	light	אֹור
115	None	MCPXT/	clan	מִשְׁפַּחַת
115	None	NB>[	speak as prophet	נבא
115	None	QVR[	smoke	קטר
115	None	CPK[	pour	שׁפך
114	None	>XWT/	sister	אָחֹות
114	None	BKH[	weep	בכה
114	None	MGRC/	pasture	מִגְרָשׁ
113	None	KBD[	be heavy	כבד
113	None	CQR/	lie	שֶׁקֶר
112	None	BLT/	failure	בֵּלֶת
112	None	NGB/	south	נֶגֶב
111	None	JDH[	praise	ידה
111	None	<MWD/	pillar	עַמּוּד
111	None	CBT/	sabbath	שַׁבָּת
110	None	<PR/	dust	עָפָר
109	None	>BCLWM/	Absalom	אַבְשָׁלֹום
109	None	BWC[	be ashamed	בושׁ
109	None	KNP/	wing	כָּנָף
109	None	RQ	only	רַק
109	None	CMRWN/	Samaria	שֹׁמְרֹון
108	None	JYXQ/	Isaac	יִצְחָק
108	None	NXM[	repent, console	נחם
108	None	SPR[	count	ספר
107	None	KBF/	young ram	כֶּבֶשׂ
106	None	JTR[	remain	יתר
106	None	<MWN/	Ammon	עַמֹּון
105	None	>MN[	be firm	אמן
105	None	B<D/	distance	בַּעַד
105	None	ML>KH/	work	מְלָאכָה
104	None	XQH/	regulation	חֻקָּה
104	None	JRB<M/	Jeroboam	יָרָבְעָם
104	None	<L	upon	עַל
104	None	RWY[	run	רוץ
104	None	CKX[	forget	שׁכח
104	None	TMJD/	continuity	תָּמִיד
103	None	BMH/	high place	בָּמָה
103	None	G>L[	redeem	גאל
103	None	MR>H/	sight	מַרְאֶה
103	None	R<<[	be evil	רעע
102	None	KPR[	cover	כפר
101	None	M<V/	little	מְעַט
101	None	R<B/	hunger	רָעָב
101	None	RXB=/	breadth	רֹחַב
100	None	>DWM/	Edom	אֱדֹום
100	None	XJH/	wild animal	חַיָּה
100	None	J<N/	motive	יַעַן
99	None	HN	behold	הֵן
99	None	<WR=/	skin	עֹור
98	None	CBJ<J/	seventh	שְׁבִיעִי
97	None	LBC[	cloth	לבשׁ
97	None	<FW/	Esau	עֵשָׂו
97	None	CRT[	serve	שׁרת
97	None	FB<[	be sated	שׂבע
96	None	XMWR/	he-ass	חֲמֹור
96	None	VHR/	pure	טָהֹר
96	None	JXDW	together	יַחְדָּו
95	None	>LH/	god	אֱלָהּ
95	None	>RK=/	length	אֹרֶךְ
95	None	JTR/	remainder	יֶתֶר
94	None	HPK[	turn	הפך
94	None	XLL/	pierced	חָלָל
94	None	VHR[	be clean	טהר
94	None	MLV[	escape	מלט
94	None	FMXH/	joy	שִׂמְחָה
93	None	>X>B/	Ahab	אַחְאָב
93	None	D<T/	knowledge	דַּעַת
93	None	ZNH[	fornicate	זנה
93	None	KN<N/	Canaan	כְּנַעַן
93	None	MMLKH/	kingdom	מַמְלָכָה
93	None	PC</	rebellion	פֶּשַׁע
92	None	GR/	sojourner	גֵּר
92	None	XLB=/	fat	חֵלֶב
92	None	XRH[	be hot	חרה
92	None	KRM/	vineyard	כֶּרֶם
92	None	QYH=/	end	קָצֶה
91	None	ZRW</	arm	זְרֹועַ
91	None	KRWB/	cherub	כְּרוּב
91	None	MLKWT/	kingship	מַלְכוּת
91	None	TMJM/	complete	תָּמִים
90	None	<BR/	opposite	עֵבֶר
90	None	CMD[	destroy	שׁמד
89	None	JLD/	boy	יֶלֶד
88	None	VM>/	unclean	טָמֵא
88	None	CQL/	shekel	שֶׁקֶל
88	None	CJR[	sing	שׁיר
87	None	>MRJ/	Amorite	אֱמֹרִי
87	None	B<R[	burn	בער
87	None	DLT/	door	דֶּלֶת
87	None	QDM/	front	קֶדֶם
87	None	CLM/	final offer	שֶׁלֶם
86	None	LMD[	learn	למד
86	None	<YH/	counsel	עֵצָה
86	None	<NN/	cloud	עָנָן
86	None	CMM[	be desolate	שׁמם
85	None	RXWQ/	remote	רָחֹוק
85	None	CJT[	put	שׁית
84	None	HMWN/	commotion	הָמֹון
84	None	JHWCPV/	Jehoshaphat	יְהֹושָׁפָט
84	None	P>H/	corner	פֵּאָה
83	None	GWR[	dwell	גור
83	None	KL/	whole	כֹּל
83	None	SGR[	close	סגר
83	None	<DWT/	reminder	עֵדוּת
83	None	CLJCJ/	third	שְׁלִישִׁי
82	None	ZKR=/	male	זָכָר
82	None	JHWNTN/	Jehonathan	יְהֹונָתָן
82	None	JHWDJ/	Jewish	יְהוּדִי
82	None	L>	not	לָא
82	None	PH	here	פֹּה
82	None	QLL[	be slight	קלל
81	None	MHR[	hasten	מהר
81	None	STR[	hide	סתר
81	None	<ZR[	help	עזר
80	None	HJKL/	palace	הֵיכָל
80	None	XCK/	darkness	חֹשֶׁךְ
80	None	J<Y[	advise	יעץ
80	None	KFDJM/	Chaldeans	כַּשְׂדִּים
80	None	MKR[	sell	מכר
80	None	MCL[	rule	משׁל
80	None	<WR[	be awake	עור
80	None	PLL[	pray	פלל
80	None	QRBN/	offering	קָרְבָּן
80	None	CXV[	slaughter	שׁחט
79	None	>WYR/	supply	אֹוצָר
79	None	>WT/	sign	אֹות
79	None	GB<H/	hill	גִּבְעָה
79	None	<NH=[	be lowly	ענה
79	None	CWR/	bullock	שֹׁור
78	None	>WN=/	wickedness	אָוֶן
78	None	JCW<H/	salvation	יְשׁוּעָה
78	None	MCMRT/	guard-post	מִשְׁמֶרֶת
78	None	NG</	stroke	נֶגַע
78	None	QNH[	buy	קנה
78	None	RKB[	ride	רכב
78	None	TC</	nine	תֵּשַׁע
77	None	GWRL/	lot	גֹּורָל
77	None	XNN[	favour	חנן
77	None	XPY[	desire	חפץ
77	None	JBC[	be dry	יבשׁ
77	None	<Z/	power	עֹז
77	None	TPLH/	prayer	תְּפִלָּה
76	None	BRZL/	iron	בַּרְזֶל
76	None	MQNH/	purchase	מִקְנֶה
76	None	QCT/	bow	קֶשֶׁת
76	None	QRWB/	near	קָרֹוב
76	None	CJR/	song	שִׁיר
76	None	TRWMH/	contribution	תְּרוּמָה
75	None	XLH[	become weak	חלה
75	None	MQDC/	sanctuary	מִקְדָּשׁ
75	None	M>S[	retract	מאס
75	None	<NJ/	humble	עָנִי
75	None	<RK[	arrange	ערך
75	None	QRN/	horn	קֶרֶן
74	None	B>R/	well	בְּאֵר
74	None	XZQJHW/	Hizkiah	חִזְקִיָּהוּ
74	None	MZRX/	sunrise	מִזְרָח
74	None	NYB[	stand	נצב
74	None	SLH	sela	סֶלָה
74	None	<Z==/	goat	עֵז
74	None	YWR/	rock	צוּר
74	None	QJR/	wall	קִיר
73	None	>RZ/	cedar	אֶרֶז
73	None	BL	not	בַּל
73	None	HBL/	breath	הֶבֶל
73	None	Z<Q[	cry	זעק
73	None	XRPH/	reproach	חֶרְפָּה
73	None	KN<NJ/	Canaanite	כְּנַעֲנִי
73	None	PL>[	be miraculous	פלא
73	None	CLL/	plunder	שָׁלָל
72	None	>L<ZR/	Eleazar	אֶלְעָזָר
72	None	BJT_>L/	Bethel	בֵּית אֵל
72	None	BVN/	belly	בֶּטֶן
72	None	GD==/	Gad	גָּד
72	None	MDW<	why	מַדּוּעַ
72	None	YRH/	distress	צָרָה
72	None	R>WBN/	Reuben	רְאוּבֵן
72	None	RXY[	wash	רחץ
72	None	CWPR/	horn	שֹׁופָר
71	None	>MR[	say	אמר
71	None	BRKH/	blessing	בְּרָכָה
71	None	HWH[	be	הוה
71	None	LBNWN/	Lebanon	לְבָנֹון
71	None	<WP/	birds	עֹוף
71	None	YR=/	adversary	צַר
71	None	CLXN/	table	שֻׁלְחָן
71	None	CBT[	cease	שׁבת
70	None	>SR[	bind	אסר
70	None	BWR/	cistern	בֹּור
70	None	DN/	Dan	דָּן
70	None	ZR/	strange	זָר
70	None	KSJL/	insolent	כְּסִיל
70	None	LJN[	lodge	לין
69	None	XN/	grace	חֵן
69	None	MCX[	smear	משׁח
69	None	NBV[	look at	נבט
69	None	<D=/	witness	עֵד
69	None	<MQ/	valley	עֵמֶק
69	None	QDJM/	east	קָדִים
68	None	KKR/	disk	כִּכָּר
68	None	CQH[	give drink	שׁקה
67	None	>BJMLK/	Abimelech	אֲבִימֶלֶךְ
67	None	KTP/	shoulder	כָּתֵף
67	None	PRF[	spread out	פרשׂ
67	None	QY/	end	קֵץ
67	None	QBR/	grave	קֶבֶר
67	None	RJB[	contend	ריב
67	None	TQ<[	blow	תקע
66	None	>XZH/	land property	אֲחֻזָּה
66	None	GBR/	vigorous man	גֶּבֶר
66	None	XLQ/	share	חֵלֶק
66	None	C>RJT/	rest	שְׁאֵרִית
65	None	>CH=/	fire offering	אִשֶּׁה
65	None	>XZ[	seize	אחז
65	None	BRX[	run away	ברח
65	None	XLWM/	dream	חֲלֹום
65	None	VWBH/	what is good	טֹובָה
65	None	NYX[	prevail	נצח
65	None	PWY[	disperse	פוץ
65	None	YLX[	be strong	צלח
65	None	RP>[	heal	רפא
65	None	C>WL/	nether world	שְׁאֹול
65	None	CKM[	rise early	שׁכם
65	None	TPF[	seize	תפשׂ
63	None	>LJHW/	Elijah	אֵלִיָּהוּ
63	None	>BNR/	Abner	אַבְנֵר
63	None	>RR[	curse	ארר
63	None	K	like	כְּ
63	None	N<RH/	girl	נַעֲרָה
63	None	QR<[	tear	קרע
63	None	CPXH/	maidservant	שִׁפְחָה
63	None	TMM[	be complete	תמם
62	None	DRK[	tread	דרך
62	None	XBRWN=/	Hebron	חֶבְרֹון
62	None	XG/	festival	חַג
62	None	KCL[	stumble	כשׁל
62	None	ML>KT/	work	מְלֶאכֶת
62	None	NYR[	watch	נצר
62	None	QNH/	reed	קָנֶה
61	None	>JK	how	אֵיךְ
61	None	>YL/	side	אֵצֶל
61	None	>BJWN/	poor	אֶבְיֹון
61	None	>BRM/	Abram	אַבְרָם
61	None	>XRJT/	end	אַחֲרִית
61	None	GBWRH/	strength	גְּבוּרָה
61	None	DWD/	beloved one	דֹּוד
61	None	<RBH/	desert	עֲרָבָה
61	None	FKL[	prosper	שׂכל
60	None	>LWP/	chief	אַלּוּף
60	None	BL<M/	<prophet>	בִּלְעָם
60	None	BCN/	Bashan	בָּשָׁן
60	None	XMS/	violence	חָמָס
60	None	MRDKJ/	Mordecai	מָרְדְּכַי
60	None	NSK/	libation	נֵסֶךְ
60	None	NDR/	vow	נֶדֶר
60	None	SL</	rock	סֶלַע
60	None	QVRT/	smoke of sacrifice	קְטֹרֶת
59	None	JKX[	reprove	יכח
59	None	MDJN=/	Midian	מִדְיָן
59	None	MGN/	shield	מָגֵן
59	None	NXL[	take possession	נחל
59	None	RJB/	law-case	רִיב
58	None	>LJC</	Elisha	אֱלִישָׁע
58	None	>JWB/	Job	אִיֹּוב
58	None	>S>/	Asa	אָסָא
58	None	>RX/	path	אֹרַח
58	None	BLJ/	destruction	בְּלִי
58	None	GJ>/	valley	גַּיְא
58	None	DNH	this	דְּנָה
58	None	XDL[	cease	חדל
58	None	JHW>/	Jehu	יֵהוּא
58	None	LWJ=/	Levi	לֵוִי
58	None	NV<[	plant	נטע
58	None	PDH[	buy off	פדה
58	None	RJX/	scent	רֵיחַ
58	None	CDD[	despoil	שׁדד
57	None	>DJN	then	אֱדַיִן
57	None	>LWH/	god	אֱלֹוהַּ
57	None	>DN/	pedestal	אֶדֶן
57	None	>T=	you	אַתְּ
57	None	JRJXW/	Jericho	יְרִיחֹוֿ יְרִחֹו
57	None	MZMWR/	psalm	מִזְמֹור
57	None	MLKW/	kingdom	מַלְכוּ
57	None	PRC/	horseman	פָּרָשׁ
57	None	P<L[	make	פעל
57	None	RXQ[	be far	רחק
57	None	THLH/	praise	תְּהִלָּה
56	None	>LMNH/	widow	אַלְמָנָה
56	None	>MH/	handmaid	אָמָה
56	None	ZR<[	sow	זרע
56	None	XZQ/	strong	חָזָק
56	None	XLQ[	divide	חלק
56	None	VRM/	beginning	טֶרֶם
56	None	<FR=/	ten	עֶשֶׂר
56	None	YDQJHW/	Zedekiah	צִדְקִיָּהוּ
56	None	RBJ<J/	fourth	רְבִיעִי
56	None	RYWN/	pleasure	רָצֹון
56	None	CMMH/	desolation	שְׁמָמָה
55	None	>STR/	Esther	אֶסְתֵּר
55	None	GPN/	vine	גֶּפֶן
55	None	J<R/	wood	יַעַר
55	None	<ML/	labour	עָמָל
55	None	Y<Q[	cry	צעק
55	None	CN/	tooth	שֵׁן
54	None	>BH[	want	אבה
54	None	GML/	camel	גָּמָל
54	None	DBC/	honey	דְּבַשׁ
54	None	DBQ[	cling, cleave to	דבק
54	None	HMN=/	Haman	הָמָן
54	None	XZH[	see	חזה
54	None	XTT[	be terrified	חתת
54	None	JRJ<H/	curtain	יְרִיעָה
54	None	JYQ[	pour	יצק
54	None	K<S[	be discontent	כעס
54	None	LBN=/	Laban	לָבָן
54	None	MDH/	measured stretch	מִדָּה
54	None	MRWM/	high place	מָרֹום
54	None	NDX[	wield	נדח
54	None	<RWH/	nakedness	עֶרְוָה
54	None	QVN/	small	קָטֹן
54	None	FM>L/	left-hand side	שְׂמֹאל
53	None	XY/	arrow	חֵץ
53	None	MDJNH/	district	מְדִינָה
53	None	MYH/	matzo	מַצָּה
53	None	MDD[	measure	מדד
53	None	SLT/	wheat groat	סֹלֶת
